UNIXTime,Data,Time,Radiation,Temperature,Pressure,Humidity,WindDirection(Degrees),Speed,TimeSunRise,TimeSunSet,Hour,Day
1475189722,2016-09-29,1900-01-01 12:55:22,1013.59,63,30.44,54,130.14,9.0,1900-01-01 06:13:00,1900-01-01 18:13:00,12,29
1475189420,2016-09-29,1900-01-01 12:50:20,1020.55,62,30.44,51,21.54,10.12,1900-01-01 06:13:00,1900-01-01 18:13:00,12,29
1475189119,2016-09-29,1900-01-01 12:45:19,1025.63,62,30.44,45,70.89,15.75,1900-01-01 06:13:00,1900-01-01 18:13:00,12,29
1475188820,2016-09-29,1900-01-01 12:40:20,1029.41,63,30.45,46,59.62,12.37,1900-01-01 06:13:00,1900-01-01 18:13:00,12,29
1475188520,2016-09-29,1900-01-01 12:35:20,1034.46,63,30.45,43,79.08,7.87,1900-01-01 06:13:00,1900-01-01 18:13:00,12,29
1475188219,2016-09-29,1900-01-01 12:30:19,1033.54,63,30.45,43,359.46,5.62,1900-01-01 06:13:00,1900-01-01 18:13:00,12,29
1475187921,2016-09-29,1900-01-01 12:25:21,1039.06,63,30.45,40,59.89,4.5,1900-01-01 06:13:00,1900-01-01 18:13:00,12,29
1475187620,2016-09-29,1900-01-01 12:20:20,1039.67,63,30.45,39,40.66,6.75,1900-01-01 06:13:00,1900-01-01 18:13:00,12,29
1475187320,2016-09-29,1900-01-01 12:15:20,1037.76,64,30.46,41,20.44,14.62,1900-01-01 06:13:00,1900-01-01 18:13:00,12,29
1475187024,2016-09-29,1900-01-01 12:10:24,1039.52,64,30.45,41,40.4,13.5,1900-01-01 06:13:00,1900-01-01 18:13:00,12,29
1475186720,2016-09-29,1900-01-01 12:05:20,1040.14,63,30.45,41,117.62,4.5,1900-01-01 06:13:00,1900-01-01 18:13:00,12,29
1475186427,2016-09-29,1900-01-01 12:00:27,1039.22,63,30.46,42,354.78,1.12,1900-01-01 06:13:00,1900-01-01 18:13:00,12,29
1475103319,2016-09-28,1900-01-01 12:55:19,1009.68,63,30.4,56,55.92,13.5,1900-01-01 06:13:00,1900-01-01 18:14:00,12,28
1475103023,2016-09-28,1900-01-01 12:50:23,1012.96,63,30.4,55,17.42,6.75,1900-01-01 06:13:00,1900-01-01 18:14:00,12,28
1475102723,2016-09-28,1900-01-01 12:45:23,1014.42,64,30.39,55,84.77,6.75,1900-01-01 06:13:00,1900-01-01 18:14:00,12,28
1475102419,2016-09-28,1900-01-01 12:40:19,1018.59,64,30.4,53,30.74,11.25,1900-01-01 06:13:00,1900-01-01 18:14:00,12,28
1475102119,2016-09-28,1900-01-01 12:35:19,1021.35,64,30.4,53,33.64,10.12,1900-01-01 06:13:00,1900-01-01 18:14:00,12,28
1475101823,2016-09-28,1900-01-01 12:30:23,1025.7,64,30.4,52,26.38,13.5,1900-01-01 06:13:00,1900-01-01 18:14:00,12,28
1475101524,2016-09-28,1900-01-01 12:25:24,1026.5,63,30.4,49,57.98,6.75,1900-01-01 06:13:00,1900-01-01 18:14:00,12,28
1475101219,2016-09-28,1900-01-01 12:20:19,1029.3,63,30.4,51,359.93,4.5,1900-01-01 06:13:00,1900-01-01 18:14:00,12,28
1475100919,2016-09-28,1900-01-01 12:15:19,1026.44,63,30.4,56,35.44,7.87,1900-01-01 06:13:00,1900-01-01 18:14:00,12,28
1475100624,2016-09-28,1900-01-01 12:10:24,1025.65,63,30.4,53,6.47,5.62,1900-01-01 06:13:00,1900-01-01 18:14:00,12,28
1475100025,2016-09-28,1900-01-01 12:00:25,1027.27,63,30.4,56,359.93,7.87,1900-01-01 06:13:00,1900-01-01 18:14:00,12,28
1475016921,2016-09-27,1900-01-01 12:55:21,262.32,60,30.39,79,32.8,4.5,1900-01-01 06:13:00,1900-01-01 18:15:00,12,27
1475016622,2016-09-27,1900-01-01 12:50:22,267.67,60,30.39,82,11.4,3.37,1900-01-01 06:13:00,1900-01-01 18:15:00,12,27
1475016321,2016-09-27,1900-01-01 12:45:21,331.66,60,30.39,80,5.97,5.62,1900-01-01 06:13:00,1900-01-01 18:15:00,12,27
1475016021,2016-09-27,1900-01-01 12:40:21,263.4,60,30.39,81,6.53,9.0,1900-01-01 06:13:00,1900-01-01 18:15:00,12,27
1475015720,2016-09-27,1900-01-01 12:35:20,281.78,61,30.39,79,10.02,6.75,1900-01-01 06:13:00,1900-01-01 18:15:00,12,27
1475015419,2016-09-27,1900-01-01 12:30:19,251.31,61,30.39,78,0.1,1.12,1900-01-01 06:13:00,1900-01-01 18:15:00,12,27
1475015118,2016-09-27,1900-01-01 12:25:18,251.39,61,30.39,77,25.11,10.12,1900-01-01 06:13:00,1900-01-01 18:15:00,12,27
1475014822,2016-09-27,1900-01-01 12:20:22,349.41,61,30.39,76,26.11,9.0,1900-01-01 06:13:00,1900-01-01 18:15:00,12,27
1475014523,2016-09-27,1900-01-01 12:15:23,457.0,62,30.4,73,0.11,13.5,1900-01-01 06:13:00,1900-01-01 18:15:00,12,27
1475014221,2016-09-27,1900-01-01 12:10:21,417.61,64,30.4,71,1.36,11.25,1900-01-01 06:13:00,1900-01-01 18:15:00,12,27
